,img_name,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,true_AU01,true_AU02,true_AU04,true_AU05,true_AU06,true_AU07,true_AU09,true_AU10,true_AU11,true_AU12,true_AU13,true_AU14,true_AU15,true_AU16,true_AU17,true_AU18,true_AU20,true_AU21,true_AU22,true_AU23,true_AU24,true_AU25,true_AU26,true_AU27,true_AU28,true_AU29,true_AU30,true_AU31,true_AU34,true_AU38,true_AU39,true_AU43,true_AU44,true_AU45,true_AU54,true_AU61,true_AU62,true_AU63,true_AU64,emotion
0,S045_005_00000030,0.0,0.0,1.208,0.06633,0.1355,1.9680000000000002,0.0,0.0,0.0,0.0,0.0,0.3258,0.0,0.5296,0.0,0.09877999999999999,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,0.0,0.0,0.0,0,0,0.0,0,0,-1.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1
1,S026_002_00000016,0.4886,0.1114,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092,0.1622,0.0,0.08907000000000001,0.1032,0.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6
2,S086_002_00000015,0.0,0.0,0.0,0.0,1.744,3.62,0.04111,1.348,2.9810000000000003,1.864,0.2702,0.1297,0.0,0.02422,1.275,0.2356,0.1568,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5
3,S116_001_00000014,0.1779,0.0,0.9914,0.0,0.0,0.2461,0.0,0.0,0.0,0.0,0.0,0.6281,0.5595,0.0,4.231,1.3869999999999998,0.3798,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,-1.0,0.0,-1.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7
4,S056_004_00000020,0.0,0.0,0.0,0.0,1.784,1.76,0.3507,2.286,3.792,1.4469999999999998,0.07808999999999999,0.01053,0.0,0.0,2.197,1.626,0.2388,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5
5,S050_004_00000021,0.04191,0.0,2.32,0.0,0.0,0.0,0.1437,0.0,0.0,0.07299,1.0270000000000001,1.715,0.0,0.06513,0.1686,0.04583,0.031160000000000004,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0,4.0,0.0,0.0,0.0,-1,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1
6,S032_003_00000017,0.0,0.0,1.067,0.0,0.01929,1.077,0.1237,0.0,0.0,0.0,0.1267,0.948,0.2025,0.2067,0.239,0.03635,0.1128,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,3.0,4.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1
7,S076_005_00000012,0.0,0.0,3.346,0.0,1.195,2.253,1.521,0.499,0.2956,0.0,0.0,1.746,0.0,0.4411,0.1196,0.002502,0.003721,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0.0,0.0,-1.0,0.0,-1.0,-1.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3
8,S035_001_00000015,0.2303,0.0,0.0,0.1179,0.0,0.4401,0.0,0.0,0.0,0.0,0.06294,0.9713,0.0,0.3965,0.6356,0.5809,0.1062,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.0,0.0,-1.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7
9,S106_004_00000008,0.0,0.0,2.6260000000000003,0.0,1.564,4.232,0.2958,1.734,0.3382,0.183,0.1417,0.4197,0.0,0.4393,0.07766,0.0,0.0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3
