id,img_name,source,anger,disgust,fear,joy,neutral,sadness,surprise
S087_004_00000012_amazon,S087_004_00000012,amazon,32.3524169921875,3.0821382999420166,0,0,0,3.1328320503234863,0
S138_008_00000009_amazon,S138_008_00000009,amazon,0,0,0,67.14356231689453,0,42.504554748535156,0
S050_006_00000023_amazon,S050_006_00000023,amazon,0,0,0,99.953857421875,0,0,0
S060_002_00000026_amazon,S060_002_00000026,amazon,0,0,0,98.94684600830078,0,0,0
S151_002_00000029_amazon,S151_002_00000029,amazon,0,0,0,96.7032470703125,0,0,0
S999_003_00000055_amazon,S999_003_00000055,amazon,0,0,0,12.621100425720215,0,0,1.989579200744629
S077_001_00000028_amazon,S077_001_00000028,amazon,2.991276979446411,0,0,0,0,0,91.97836303710938
S050_006_00000023_azure,S050_006_00000023,azure,8.96346e-07,5.6310420000000004e-05,1.2246117999999999e-08,99.9996066,0.000316989554,1.7165307e-07,1.48564837e-05
S060_002_00000026_azure,S060_002_00000026,azure,1.863471e-12,1.2677222300000001e-11,1.123185e-14,100.0,1.80151575e-10,2.558883e-14,8.85527e-10
S077_001_00000028_azure,S077_001_00000028,azure,0.002850554,0.00259218868,0.0007105462999999999,0.12180238300000001,0.18938091799999998,0.0001747417,99.68236
S087_004_00000012_azure,S087_004_00000012,azure,27.88831,65.83958,0.000224258474,3.594996e-05,4.369273,0.1920959,0.04608165
S138_008_00000009_azure,S138_008_00000009,azure,0.009356358,0.028574836300000003,0.00014889164999999999,76.97697,22.2943515,0.0250285055,0.00505974349
S151_002_00000029_azure,S151_002_00000029,azure,0.0155366608,0.0171140739,0.00042892324900000003,49.6975273,47.854667899999995,0.09026567569999999,0.0122940037
S999_003_00000055_azure,S999_003_00000055,azure,5.36998063,25.755193799999997,62.91081,0.0006505625,0.009492645,5.05844653,0.0115332783
