id,img_name,source,anger,disgust,fear,joy,neutral,sadness,surprise
S026_001_00000015_amazon,S026_001_00000015,amazon,0,6.861758232116699,0,0,0,0,98.56659698486328
S005_001_00000011_amazon,S005_001_00000011,amazon,41.29936218261719,8.411723136901855,0,17.73731231689453,0,0,0
S014_004_00000019_amazon,S014_004_00000019,amazon,94.55571746826172,0,0,0,0,0,0
S026_005_00000014_amazon,S026_005_00000014,amazon,7.479608058929443,0,0,31.472379684448242,0,0,0
S011_002_00000022_amazon,S011_002_00000022,amazon,0,0,0,0,0,2.965158224105835,0
S011_006_00000013_amazon,S011_006_00000013,amazon,0,0,0,99.80818176269531,0,0,0
S022_003_00000033_amazon,S022_003_00000033,amazon,0,0,0,99.3069076538086,0,0.8472442626953125,0
S010_004_00000019_amazon,S010_004_00000019,amazon,5.6092023849487305,0,0,10.414816856384277,0,0,0
S026_002_00000016_amazon,S026_002_00000016,amazon,0,0,0,0,0,17.444307327270508,0
S010_001_00000014_amazon,S010_001_00000014,amazon,0,1.1177599430084229,0,91.93583679199219,0,0,0
S010_005_00000016_amazon,S010_005_00000016,amazon,29.677438735961914,10.431307792663574,0,27.7080020904541,0,0,0
S011_003_00000014_amazon,S011_003_00000014,amazon,0,0,0,35.068138122558594,0,0,0
S014_005_00000017_amazon,S014_005_00000017,amazon,0.6998121738433838,0,0,97.15419006347656,0,0,0
S014_001_00000029_amazon,S014_001_00000029,amazon,0,0,0,3.0255091190338135,0,0,68.08195495605469
S026_003_00000015_amazon,S026_003_00000015,amazon,63.84602737426758,0,0,0,0,7.721853256225586,0
S010_002_00000014_amazon,S010_002_00000014,amazon,0.8754551410675049,0,0,0,0,0,95.7226791381836
S014_002_00000016_amazon,S014_002_00000016,amazon,0,5.849152565002441,0,0,0,7.8266801834106445,0
S022_004_00000023_amazon,S022_004_00000023,amazon,0,0,0,0,0,48.37868881225586,0
S022_001_00000030_amazon,S022_001_00000030,amazon,0,0,0,2.8131091594696045,0,0,62.222816467285156
S010_003_00000018_amazon,S010_003_00000018,amazon,0,0,0,0,0,13.077962875366211,0
S026_006_00000013_amazon,S026_006_00000013,amazon,3.377026319503784,0,0,99.18115997314453,0,0,0
S026_004_00000012_amazon,S026_004_00000012,amazon,88.54314422607422,1.534491777420044,0,16.960573196411133,0,0,0
S010_006_00000015_amazon,S010_006_00000015,amazon,0,0,0,98.36871337890625,0,0,0
S014_003_00000030_amazon,S014_003_00000030,amazon,14.032793045043945,0,0,11.806394577026367,0,0,0
S022_005_00000032_amazon,S022_005_00000032,amazon,0,0,0,0,0,20.188915252685547,0
S022_002_00000017_amazon,S022_002_00000017,amazon,0,0,0,73.5858154296875,0,1.5993118286132812,0
S032_001_00000022_amazon,S032_001_00000022,amazon,0,0,0,0,0,2.9400289058685303,69.00540924072266
S028_001_00000024_amazon,S028_001_00000024,amazon,0,0,0,57.90171813964844,0,4.279911518096924,0
S032_005_00000016_amazon,S032_005_00000016,amazon,5.575579643249512,0,0,24.780567169189453,0,1.3946831226348877,0
S034_003_00000027_amazon,S034_003_00000027,amazon,27.406919479370117,25.865453720092773,0,0,0,0,0
S011_004_00000021_amazon,S011_004_00000021,amazon,4.021036624908447,0,0,0,0,4.221158981323242,0
S022_006_00000017_amazon,S022_006_00000017,amazon,74.42032623291016,9.718334197998047,0,0,0,0,0
S011_001_00000016_amazon,S011_001_00000016,amazon,0,0,0,11.211623191833496,0,0,92.02842712402344
S035_002_00000010_amazon,S035_002_00000010,amazon,0,0,0,0,0,22.734821319580078,0
S032_002_00000021_amazon,S032_002_00000021,amazon,0,2.6386678218841553,0,0,0,45.27452087402344,0
S029_001_00000019_amazon,S029_001_00000019,amazon,4.424196243286133,0,0,0,0,19.00108528137207,5.523228645324707
S032_006_00000016_amazon,S032_006_00000016,amazon,0,0,0,98.64653015136719,0,0.46876072883605957,0
S034_004_00000037_amazon,S034_004_00000037,amazon,0,12.493419647216797,0,8.45491886138916,0,34.74007797241211,0
S037_004_00000066_amazon,S037_004_00000066,amazon,0,6.622714042663574,0,0,0,6.173360347747803,0
S011_005_00000020_amazon,S011_005_00000020,amazon,54.7642936706543,3.597414493560791,0,40.160770416259766,0,0,0
S035_003_00000015_amazon,S035_003_00000015,amazon,6.076103210449219,6.019538879394531,0,95.14166259765625,0,0,0
S035_006_00000018_amazon,S035_006_00000018,amazon,0,2.1489977836608887,0,98.78998565673828,0,0,0
S034_001_00000029_amazon,S034_001_00000029,amazon,0,0,0,76.02457427978516,0,0,47.68952178955078
S034_005_00000010_amazon,S034_005_00000010,amazon,0,0.36857128143310547,0,99.94426727294922,0,1.5033960342407227,0
S042_002_00000016_amazon,S042_002_00000016,amazon,0,0,0,0,0,18.069059371948242,0
S032_003_00000017_amazon,S032_003_00000017,amazon,0,0,0,0,0,14.60670280456543,0
S037_001_00000020_amazon,S037_001_00000020,amazon,0,0,0,4.149604797363281,0,0,95.3134536743164
S034_002_00000033_amazon,S034_002_00000033,amazon,0,0,0,43.906089782714844,0,0,0
S037_005_00000022_amazon,S037_005_00000022,amazon,0,8.263426780700684,0,18.960983276367188,0,0,0
S042_006_00000017_amazon,S042_006_00000017,amazon,0,0,0,97.86478424072266,0,0,0
S035_004_00000016_amazon,S035_004_00000016,amazon,0,0,0,0,0,16.783016204833984,0
S032_004_00000014_amazon,S032_004_00000014,amazon,0,0,0,0,0,3.4362196922302246,0
S042_003_00000014_amazon,S042_003_00000014,amazon,2.3014605045318604,0,0,0,0,0,0
S037_002_00000017_amazon,S037_002_00000017,amazon,15.80827808380127,0,0,0,0,3.939056396484375,0
S035_001_00000015_amazon,S035_001_00000015,amazon,4.469388961791992,0,0,0,0,0,97.7423095703125
S044_004_00000029_amazon,S044_004_00000029,amazon,0,0,0,0,0,49.10110855102539,0
S037_006_00000021_amazon,S037_006_00000021,amazon,0,0.9862422943115234,0,99.83851623535156,0,0,0
S044_001_00000024_amazon,S044_001_00000024,amazon,0,0,0,2.623978614807129,0,0,95.59793090820312
S035_005_00000019_amazon,S035_005_00000019,amazon,0,1.7540693283081055,0,78.35151672363281,0,1.367276906967163,0
S045_002_00000014_amazon,S045_002_00000014,amazon,0,0,0,1.7768360376358032,0,31.904298782348633,0
S042_004_00000020_amazon,S042_004_00000020,amazon,8.058012008666992,0,0,12.815388679504395,0,0,0
S046_001_00000025_amazon,S046_001_00000025,amazon,0,0,0,0,0,74.85496520996094,0
S037_003_00000022_amazon,S037_003_00000022,amazon,4.192012786865234,0,0,0,0,3.27034592628479,0
S044_002_00000018_amazon,S044_002_00000018,amazon,0,2.514725923538208,0,85.37723541259766,0,0,0
S042_001_00000019_amazon,S042_001_00000019,amazon,0.9153306484222412,0,0,0,0,0,98.43614959716797
S044_005_00000029_amazon,S044_005_00000029,amazon,68.92862701416016,0,0,0,0,0,0
S044_003_00000014_amazon,S044_003_00000014,amazon,0,0,0,99.78353118896484,0,0,0
S042_005_00000019_amazon,S042_005_00000019,amazon,57.13442611694336,0,0,23.549915313720703,0,3.006291389465332,0
S046_002_00000006_amazon,S046_002_00000006,amazon,2.1938443183898926,0,0,68.23802185058594,0,0,53.747928619384766
S050_004_00000021_amazon,S050_004_00000021,amazon,3.0022382736206055,0,0,0,0,2.7943849563598633,0
S044_006_00000019_amazon,S044_006_00000019,amazon,64.2522201538086,4.424571990966797,0,0,0,0,0
S046_005_00000023_amazon,S046_005_00000023,amazon,0,0,0,99.95955657958984,0,1.6056180000305176,0
S051_002_00000019_amazon,S051_002_00000019,amazon,0,0,0,6.630812644958496,0,0,28.665138244628906
S046_003_00000016_amazon,S046_003_00000016,amazon,0,2.6926636695861816,0,72.88505554199219,0,7.446777820587158,0
S052_003_00000019_amazon,S052_003_00000019,amazon,0,0,0,9.530303955078125,0,5.437678337097168,0
S045_003_00000017_amazon,S045_003_00000017,amazon,0,0,0,99.40497589111328,0,0,0.7042109966278076
S050_005_00000013_amazon,S050_005_00000013,amazon,14.162862777709961,0,0,15.662399291992188,0,0,0
S045_001_00000030_amazon,S045_001_00000030,amazon,0,0,0,90.80296325683594,0,0,0
S050_001_00000017_amazon,S050_001_00000017,amazon,0,0,0,76.50382232666016,0,0,10.066164016723633
S053_003_00000065_amazon,S053_003_00000065,amazon,0,0,0,0,0,51.83280563354492,0
S050_006_00000023_amazon,S050_006_00000023,amazon,0,0,0,99.953857421875,0,0,0
S046_004_00000017_amazon,S046_004_00000017,amazon,16.700119018554688,0,0,59.60212326049805,0,59.95820236206055,0
S045_004_00000015_amazon,S045_004_00000015,amazon,55.26688003540039,69.62523651123047,0,2.5162956714630127,0,0,0
S051_003_00000018_amazon,S051_003_00000018,amazon,83.07984161376953,1.2411296367645264,0,51.37862014770508,0,0,0
S052_004_00000033_amazon,S052_004_00000033,amazon,0,0,0,99.55949401855469,0,0,0
S054_003_00000007_amazon,S054_003_00000007,amazon,0,0,0,13.238207817077637,0,0,55.347801208496094
S053_004_00000024_amazon,S053_004_00000024,amazon,0,0,0,99.9167709350586,0,0.7316648960113525,0
S045_005_00000030_amazon,S045_005_00000030,amazon,0,0,0,0,0,13.779598236083984,0
S052_001_00000015_amazon,S052_001_00000015,amazon,2.0342230796813965,0,0,0,0,0,99.98625183105469
S051_001_00000024_amazon,S051_001_00000024,amazon,0,0,0,95.57869720458984,0,1.4303803443908691,0
S052_006_00000013_amazon,S052_006_00000013,amazon,21.515649795532227,20.423931121826172,0,5.5061116218566895,0,0,0
S050_002_00000018_amazon,S050_002_00000018,amazon,2.5784552097320557,0,0,0,0,0,97.9661636352539
S054_001_00000020_amazon,S054_001_00000020,amazon,0,0,0,99.17802429199219,0,0,0
S052_002_00000022_amazon,S052_002_00000022,amazon,0,0,0,0,0,29.57000732421875,0
S050_003_00000021_amazon,S050_003_00000021,amazon,16.39128303527832,0,0,0,0,0,0
S053_001_00000023_amazon,S053_001_00000023,amazon,0.6016075611114502,0,0,0,0,0,95.8450698852539
S054_004_00000024_amazon,S054_004_00000024,amazon,82.6738510131836,0,0,0,0,0,0
S054_002_00000015_amazon,S054_002_00000015,amazon,0,0,0,10.303564071655273,0,0,2.0909249782562256
S005_001_00000011_googlevision,S005_001_00000011,googlevision,50,0,0,0,0,75,0
S010_001_00000014_googlevision,S010_001_00000014,googlevision,0,0,0,100,0,0,0
S010_002_00000014_googlevision,S010_002_00000014,googlevision,0,0,0,0,0,0,100
S010_003_00000018_googlevision,S010_003_00000018,googlevision,0,0,0,0,0,0,0
S010_004_00000019_googlevision,S010_004_00000019,googlevision,0,0,0,0,0,0,0
S010_005_00000016_googlevision,S010_005_00000016,googlevision,100,0,0,0,0,25,0
S010_006_00000015_googlevision,S010_006_00000015,googlevision,0,0,0,100,0,0,0
S011_001_00000016_googlevision,S011_001_00000016,googlevision,0,0,0,0,0,0,100
S011_002_00000022_googlevision,S011_002_00000022,googlevision,0,0,0,0,0,100,0
S011_003_00000014_googlevision,S011_003_00000014,googlevision,0,0,0,25,0,75,0
S011_004_00000021_googlevision,S011_004_00000021,googlevision,0,0,0,0,0,50,0
S011_005_00000020_googlevision,S011_005_00000020,googlevision,75,0,0,0,0,0,0
S011_006_00000013_googlevision,S011_006_00000013,googlevision,0,0,0,100,0,0,0
S014_001_00000029_googlevision,S014_001_00000029,googlevision,25,0,0,0,0,0,100
S014_002_00000016_googlevision,S014_002_00000016,googlevision,25,0,0,0,0,75,0
S014_003_00000030_googlevision,S014_003_00000030,googlevision,25,0,0,0,0,25,0
S014_004_00000019_googlevision,S014_004_00000019,googlevision,75,0,0,0,0,0,0
S014_005_00000017_googlevision,S014_005_00000017,googlevision,0,0,0,100,0,0,0
S022_001_00000030_googlevision,S022_001_00000030,googlevision,0,0,0,0,0,0,100
S022_002_00000017_googlevision,S022_002_00000017,googlevision,0,0,0,25,0,0,0
S022_003_00000033_googlevision,S022_003_00000033,googlevision,0,0,0,100,0,0,0
S022_004_00000023_googlevision,S022_004_00000023,googlevision,0,0,0,0,0,25,0
S022_005_00000032_googlevision,S022_005_00000032,googlevision,0,0,0,0,0,50,0
S022_006_00000017_googlevision,S022_006_00000017,googlevision,50,0,0,0,0,25,0
S026_001_00000015_googlevision,S026_001_00000015,googlevision,25,0,0,0,0,0,100
S026_002_00000016_googlevision,S026_002_00000016,googlevision,25,0,0,0,0,75,0
S026_003_00000015_googlevision,S026_003_00000015,googlevision,50,0,0,0,0,25,0
S026_004_00000012_googlevision,S026_004_00000012,googlevision,100,0,0,0,0,0,0
S026_005_00000014_googlevision,S026_005_00000014,googlevision,25,0,0,50,0,25,0
S026_006_00000013_googlevision,S026_006_00000013,googlevision,0,0,0,100,0,0,0
