id,img_name,source,anger,disgust,fear,joy,neutral,sadness,surprise
001_faceplusplus,001,faceplusplus,0.0,0.0,0.0,0.0,99.192,0.808,0.0
002_faceplusplus,002,faceplusplus,0.0,0.0,0.0,0.0,99.254,0.745,0.001
003_faceplusplus,003,faceplusplus,0.0,0.0,0.0,0.0,99.531,0.465,0.003
004_faceplusplus,004,faceplusplus,0.0,0.0,0.0,0.001,99.787,0.21,0.002
005_faceplusplus,005,faceplusplus,0.0,0.0,0.001,0.002,98.908,1.079,0.01
006_faceplusplus,006,faceplusplus,0.0,0.0,0.0,0.0,99.443,0.547,0.009
007_faceplusplus,007,faceplusplus,0.0,0.0,0.0,0.0,99.995,0.004,0.0
008_faceplusplus,008,faceplusplus,0.0,0.0,0.0,0.002,98.932,1.054,0.012
009_faceplusplus,009,faceplusplus,0.0,0.0,0.0,0.001,97.904,2.094,0.001
010_faceplusplus,010,faceplusplus,0.0,0.0,0.0,0.0,99.997,0.003,0.0
011_faceplusplus,011,faceplusplus,0.0,0.0,0.0,0.0,99.999,0.0,0.0
012_faceplusplus,012,faceplusplus,0.001,0.001,0.006,0.082,75.418,24.486,0.006
013_faceplusplus,013,faceplusplus,0.0,0.0,0.0,0.023,97.655,2.32,0.0
014_faceplusplus,014,faceplusplus,0.002,0.002,0.062,0.107,70.44,29.386,0.002
015_faceplusplus,015,faceplusplus,0.001,0.001,0.069,0.142,99.536,0.247,0.005
016_faceplusplus,016,faceplusplus,0.006,0.006,0.159,0.907,98.388,0.459,0.076
017_faceplusplus,017,faceplusplus,0.002,0.08,0.018,0.169,98.712,0.987,0.031
018_faceplusplus,018,faceplusplus,0.003,0.029,0.313,0.915,98.033,0.703,0.003
019_faceplusplus,019,faceplusplus,0.002,0.002,0.258,0.013,92.77,6.925,0.029
020_faceplusplus,020,faceplusplus,0.004,0.591,0.06,0.846,97.204,1.29,0.004
021_faceplusplus,021,faceplusplus,0.129,0.041,0.327,57.822,37.164,4.478,0.041
022_faceplusplus,022,faceplusplus,2.206,0.039,0.045,55.713,36.768,5.189,0.039
023_faceplusplus,023,faceplusplus,0.021,2.264,3.98,65.056,0.085,28.571,0.021
024_faceplusplus,024,faceplusplus,0.016,0.149,0.109,95.413,0.53,3.768,0.016
025_faceplusplus,025,faceplusplus,0.013,0.415,2.671,95.391,0.037,1.461,0.013
026_faceplusplus,026,faceplusplus,0.002,0.004,0.167,99.814,0.002,0.009,0.002
027_faceplusplus,027,faceplusplus,0.2,0.003,0.05,99.143,0.003,0.598,0.003
028_faceplusplus,028,faceplusplus,0.096,0.007,0.007,98.601,0.016,1.265,0.007
029_faceplusplus,029,faceplusplus,0.022,0.151,0.253,94.655,0.051,4.846,0.022
030_faceplusplus,030,faceplusplus,0.017,0.615,5.234,92.63,0.042,1.445,0.017
031_faceplusplus,031,faceplusplus,0.004,0.004,10.147,89.491,0.015,0.334,0.004
032_faceplusplus,032,faceplusplus,0.297,0.004,0.157,99.284,0.207,0.046,0.004
033_faceplusplus,033,faceplusplus,0.002,0.002,0.093,99.711,0.164,0.025,0.002
034_faceplusplus,034,faceplusplus,0.016,5.312,23.696,66.942,0.018,3.999,0.016
035_faceplusplus,035,faceplusplus,0.009,2.178,0.178,96.092,0.009,1.523,0.009
036_faceplusplus,036,faceplusplus,0.004,0.01,3.526,86.888,0.004,9.565,0.004
037_faceplusplus,037,faceplusplus,0.003,0.475,2.677,96.797,0.003,0.042,0.003
038_faceplusplus,038,faceplusplus,0.001,0.001,0.008,99.935,0.039,0.013,0.001
039_faceplusplus,039,faceplusplus,0.036,0.006,0.017,99.459,0.012,0.462,0.007
040_faceplusplus,040,faceplusplus,0.004,0.084,2.15,97.71,0.039,0.004,0.009
041_faceplusplus,041,faceplusplus,0.016,0.005,0.013,96.865,0.22,2.876,0.005
042_faceplusplus,042,faceplusplus,0.142,0.04,0.838,71.717,0.335,26.888,0.04
043_faceplusplus,043,faceplusplus,0.047,0.001,0.002,99.89,0.009,0.05,0.001
